test_sentence,correct_sentence,predicted_sentence,probability,accuracy
Predsednik Unije poslodavac Srbije Stevan Avramović uhapšen je zbog sumnje da je zloupotrebi službeni položaj.,Predsednik Unije poslodavaca Srbije Stevan Avramović uhapšen je zbog sumnje da je zloupotrebio službeni položaj.,Predsednik Unije poslodavac Srbije Stevan Avramović uhapšen je zbog sumnje da je zloupotrebi službeni položaj,0.0,97.32
Generalna skupština Ujedinjenih nacije trebalo bi da se danas izjasni o rezolucija o Kosovu i Metohiji koju su usaglasili Srbija i Evropska unija.,Generalna skupština Ujedinjenih nacija trebalo bi da se danas izjasni o rezoluciji o Kosovu i Metohiji koju su usaglasile Srbija i Evropska unija.,Generalna skupština Ujedinjenih nacije trebalo bi da se danas izjasni o rezolucija o Kosovu i Metohiji koju su usaglasili Srbija i Evropska unija,0.0,97.26
Nemački ambasador u Beogradu Volfram Mas demantovao je danas špekulacije da se Nemci protive daljem proširenju EU i istakao da Nemačka podržava evropske integracije zapadnog Balkana.,Nemački ambasador u Beogradu Volfram Mas demantovao je danas špekulacije da se Nemci protive daljem proširenju EU i istakao da Nemačka podržava evropske integracije zapadnog Balkana.,Nemački ambasador u Beogradu Volfram Mas demantovao je dana špekulacije da se Nema protive daljem proširenje EU i istakao da Nemačka podržava evropske integracije zapadnog Balkana,0.3356509506702423,97.25
Posle prvih mečeva osmina finala Lige šampion odigranih u sredu uveče domaćini su imali mnogo više razloga za zadovoljstvo.,Posle prvih mečeva osmine finala Lige šampiona odigranih u sredu uveče domaćini su imali mnogo više razloga za zadovoljstvo.,Posle prvih meseca osmina finala Lige šampiona odigranih u sredu uveče domaćini su imali mnogo više razloga za zadovoljstvo,0.34095606207847595,96.77
Gradonačelnik Beograda Dragan Đilas najavio je danas da će se kandidovati za tu fnkciju na narednim lokalni izborima u Beogradu i da od novog rukovotstva beogradskog odbora dmokrata očekuje da ga u tome podrži.,Gradonačelnik Beograda Dragan Đilas najavio je danas da će se kandidovati za tu funkciju na narednim lokalnim izborima u Beogradu i da od novog rukovodstva beogradskog odbora demokrata očekuje da ga u tome podrži.,Gradonačelnik Beograda Dragan Đilas najavio je dana da će se kandidovati za tu unkciju na narednim lokalni izborima u Beogradu i da od novog rukovodstva beogradskog odbora demokratska očekuje da ga U tome podrži,0.33012425899505615,96.71
"Investicije u nauku i obrazovanje su investicija u ekonomski razvoj i budućnost, rekao predsednik Srbije Boris Tadić otvarajući konferenciju ""Naučna zajednica i budućnost Srbije"".","Investicije u nauku i obrazovanje su investicija u ekonomski razvoj i budućnost, rekao predsednik Srbije Boris Tadić otvarajući konferenciju ""Naučna zajednica i budućnost Srbije"".",Investicije u nauku i obrazovanje sa investicija u ekonomski razvoj i budućnost rekao predsednik Srbije Boris Tadić otvarajući konferencija Naučna zajednica i budućnost Srbije,0.3184971660375595,96.65
"Potpredsednik SRS Dragan Todorović izrazio je veliku zabrinutost za zdravlje lidera radikal Vojislava Šešelja i poručio da neće dozvoliti da se u Haškom tribunal „ponovi scenarijo smrti Slobodana Miloševića"".","Potpredsednik SRS Dragan Todorović izrazio je veliku zabrinutost za zdravlje lidera radikala Vojislava Šešelja i poručio da neće dozvoliti da se u Haškom tribunalu „ponovi scenario smrti Slobodana Miloševića"".",Potpredsednik SRS Dragan Todorović izrazio je veliku zabrinutost za zdravlje lidera radikala Vojislava Šešelja i poručio da neće dozvolila da se u Haškom tribunal ponovi scenarijo smrti Slobodana Miloševića,0.3525219261646271,96.65
"Ujedinjeni regioni Srbije (URS) zalažu za promena Ustava koja bi omogućila da Šumadija i Pomoravlje postanu jedan regijon sa sedište u Kragujevcu, izjavio je danas u tom gradu predsednik G17 plus i lider URS Mlađan Dinkić.","Ujedinjeni regioni Srbije (URS) zalažu za promenu Ustava koja bi omogućila da Šumadija i Pomoravlje postanu jedan region sa sedištem u Kragujevcu, izjavio je danas u tom gradu predsednik G17 plus i lider URS Mlađan Dinkić.",Ujedinjeni regioni Srbije URS zalaže za promena Ustava koja bi omogućili da Šumadija i Pomoravlje postanu jedan region sa sedište u Kragujevcu izjavio je danas u tom gradu predsednik G17 plus i lider URS Mlađan Dinkić,0.329560786485672,96.4
Dinkić potneo ostavka premijeru i najavio da će ubuduće biti šef poslaničke grupe.,Dinkić podneo ostavku premijeru i najavio da će ubuduće biti šef poslaničke grupe.,Dinkić poneo ostavke premijeru i najavio da će ubuduće biti šef poslaničke grupe,0.41062331199645996,96.34
"Prvo osnovno javno tužilaštvo u Beogradu zatražilo je od nadležnih u policiji da preispitaju da li su policijski službenik tokom intervencije u kladionici Monako u Zemunu prekoračili ovlašćenja, izjavio je u nedelju podparol Republičkog javnog tužilaštva Tomo Zorić.","Prvo osnovno javno tužilaštvo u Beogradu zatražilo je od nadležnih u policiji da preispitaju da li su policijski službenici tokom intervencije u kladionici Monako u Zemunu prekoračili ovlašćenja, izjavio je u nedelju portparol Republičkog javnog tužilaštva Tomo Zorić.",Prvo osnovno javno tužilaštvo U Beogradu zatražilo je od nadležnih u policiji da preispitana da li su policijski službenik tokom intervencije u kladionici Monako U Zemunu prekoračili ovlašćenja izjavio je u nedelju potparol Republičkog javnog tužilaštva Toma Zorić,0.38539718836545944,96.27
"Šef srpske diplomatije Vuk Jeremić izjavio je danas u Beogradu da je još 2008. godine rekao šta misli o operaciji ""Oluja"", ne želeći više da komentariše presuda Haškog tribunala hrvatskom generalu Anti Gotovini.","Šef srpske diplomatije Vuk Jeremić izjavio je danas u Beogradu da je još 2008. godine rekao šta misli o operaciji ""Oluja"", ne želeći više da komentariše presudu Haškog tribunala hrvatskom generalu Anti Gotovini.",Šef srpske diplomatije Vuk Jeremić izjavio je danas u Beogradu da je još 2008 godine reda šta misli o operaciji Oluja ne želeći više da komentariše presuda Haškog tribunala hrvatskom generalu Anti Gotovini,0.3349994421005249,96.21
"Porodica Ratka Mladića zatražiće ovih dana od suda u Srbiji da ratnog komandata Vojske RS i najtraženijeg haškog begunca proglasi mrtvm, piše dnevnik ""Alo.","Porodica Ratka Mladića zatražiće ovih dana od suda u Srbiji da ratnog komandanta Vojske RS i najtraženijeg haškog begunca proglasi mrtvim, piše dnevnik ""Alo.",Porodica Ratka Mladića zatražile ovih dana od suda u Srbiji da ratnog komandanta Vojske RS i najtraženijeg haškog begunca proglasi mrtvu piše dnevnik Alo,0.3372996747493744,96.18
Predsednica Upravni odbora Jugohemije Milka Forcan odbacila je u sredu optužbe Delta holdinga da je nelegalno otuđila deo imovine te kompanija osnivanjem firme Jugohemija menadžment.,Predsednica Upravnog odbora Jugohemije Milka Forcan odbacila je u sredu optužbe Delta holdinga da je nelegalno otuđila deo imovine te kompanije osnivanjem firme Jugohemija menadžment.,Predsednica Upravni odbora Jugohemije Milka Forcan odbacila je u sredu optužbe Delta holdinga da je nelegalnoj otuđila deo imovine te kompanija osnivanja firme Jugohemija menadžment,0.33134305477142334,96.17
"Poslanik koalicije Albanaca preševske doline Riza Haljimi ocenijo je za Danas da je za njega predložene deklaracija o osudi zločina nad pripadnicima srpskog narod i građanima Srbije neprihvatljiva, jer u njoj nisu pomenuti zločini nad civilima u opštini Preševo za vreme ratnog stanja.","Poslanik koalicije Albanaca preševske doline Riza Haljimi ocenio je za Danas da je za njega predložena deklaracija o osudi zločina nad pripadnicima srpskog naroda i građanima Srbije neprihvatljiva, jer u njoj nisu pomenuti zločini nad civilima u opštini Preševo za vreme ratnog stanja.",Poslanik koalicije Albanaca rešenje doline Riza Haljimi ocenio je za Dana da je za njega predvođene deklaracija o osudi zločina nad pripadnicima srpskog narod i građanima Srbije neprihvatljiva jer u njoj nisu pomenuti zločini nad civilima u opštini Preševo za vreme ratnog stanja,0.3559251626332601,96.14
"Po novom Zakonu o planiranju i izgradnji, koji je stupio na snagu 11. septembra prošle godine, u Beogradu je dosad izdata samo jedna lokacijskih dozvola.","Po novom Zakonu o planiranju i izgradnji, koji je stupio na snagu 11. septembra prošle godine, u Beogradu je dosad izdata samo jedna lokacijska dozvola.",Po novog Zakonu o planiranju i izgradnji koji je stupi na snagu 11 septembra prošle godine u Beogradu je dosad izdata samo jedna lokacijska dozvola,0.37188905477523804,96.05
"Više novinarskih i mediskih udruženja zatražilo je danas od države da zabrani rad i delovanje ekstremistička, klerofašističkih, neonacističkih i rasističkih grupa u Srbiji.","Više novinarskih i medijskih udruženja zatražilo je danas od države da zabrani rad i delovanje ekstremističkih, klerofašističkih, neonacističkih i rasističkih grupa u Srbiji.",Više novinarskih i medicinskih udruženja zatražilo je dana od države da zabrani rad i delovanje ekstremističkih klerofašističkih neonacističkih i rasističkih grupa u Srbiji,0.33194008469581604,95.98
"Pripadnici avganistanskih iz britanskih snaga bezbednosti zaplenili su 15 tona opijuma u Avganistanu i to je jedna oda najvećih zaplena ikad, rekli su zvaničnici, prenosi DPA.","Pripadnici avganistanskih i britanskih snaga bezbednosti zaplenili su 15 tona opijuma u Avganistanu i to je jedna od najvećih zaplena ikad, rekli su zvaničnici, prenosi DPA.",Pripadnici avganistanskih iza britanskih snaga bezbednosti zaplenili su 15 tona opijuma u Avganistanu i to je jedna da najvećih zaplena ikad rekli su zvaničnici prenosi DPA,0.3372996747493744,95.95
"Predsednik Srbije Boris Tadić sinoć je u Briselu izjavio da mu je, u sinoćnjem razgovor s visokom predstavnicom za spoljnu i bezbednosna politiku EU Ketrin Ešton, potvrđena podrška Evropske unije za dogledno davanje statusa kandidata za članstvo.","Predsednik Srbije Boris Tadić sinoć je u Briselu izjavio da mu je, u sinoćnjem razgovoru s visokom predstavnicom za spoljnu i bezbednosnu politiku EU Ketrin Ešton, potvrđena podrška Evropske unije za dogledno davanje statusa kandidata za članstvo.",Predsednik Srbije Boris Tadića sinoć je u Briselu izjavio da mi je u sinoćnjeg razgovor s visokom predstavnicom za spoljnu i bezbednosna politika EU Ketrin Ešton potvrđeno podrška Evropske unije za dogledno davanje statusa kandidata za članstvo,0.35301541090011596,95.95
"Kao deo vladajuće koalicije, Srpski pokret obnove će insistirati da se maksimalna ubrzaju sve zapadne integracije Srbije, a kada bi uticaj naše stranka bio veći, i taj proces bio bi intenzivniji, izjavio je ministar za dijasporu i potpredsednik SPO Srđan Srećković.","Kao deo vladajuće koalicije, Srpski pokret obnove će insistirati da se maksimalno ubrzaju sve zapadne integracije Srbije, a kada bi uticaj naše stranke bio veći, i taj proces bio bi intenzivniji, izjavio je ministar za dijasporu i potpredsednik SPO Srđan Srećković.",Kao de vladajuće koalicije Srpski pokret obnove će insistirati da se maksimalna ubrza sve zapadne integracije Srbije a kada bi uticaj naše stranka bio veći i taj proces bio bi intenzivniji izjavio je ministara za dijasporu i potpredsednik SPO Srđan Srećković,0.3218003412087758,95.85
"Lider Srpske napredna stranke Tomislav Nikolić, koji je u subotu ujutru počeo štrajk glađu i žeđu zahtevajući raspisivanje preveremenih parlamentarni izbora, izjavio je večeras da ne odustaje od štrajka i da to čini za Srbiju, a ne za sebe.","Lider Srpske napredne stranke Tomislav Nikolić, koji je u subotu ujutru počeo štrajk glađu i žeđu zahtevajući raspisivanje preveremenih parlamentarnih izbora, izjavio je večeras da ne odustaje od štrajka i da to čini za Srbiju, a ne za sebe.",Lider Srpske napredna stranke Tomislav Nikolića koji je u subotu ujutru počeo štrajk glađu i žeđu zahtevajući raspisivanje prevremenih parlamentarni izbora izjavio je večere da ne odustaje od štrajka i da to čini za Srbija a ne za sebe,0.3406324088573456,95.85
"Euleks danas dobija politička podršku Saveta Evrope da proširi svoju istrazu o trgovini organima i na Hašima Tačija, aktuelnog premijer Kosova.","Euleks danas dobija političku podršku Saveta Evrope da proširi svoju istragu o trgovini organima i na Hašima Tačija, aktuelnog premijera Kosova.",Euleks danas dobija politička podrške Saveta Evrope da proširi svoju istrazi o trgovini organima i na Hašima Tačija aktuelnog premijera Kosova,0.3525219261646271,95.83
"Srbija i Grčka su istorijski partneri i prijatelji, a to će i ostati, izjavio sinoć predsednik Srbije Boris Tadić posle razgovara s premijerom Grčke Jorgosom Papandreuom i zahvalio mu na podrški koju pruža Srbiji u evropske integracijama.","Srbija i Grčka su istorijski partneri i prijatelji, a to će i ostati, izjavio sinoć predsednik Srbije Boris Tadić posle razgovora s premijerom Grčke Jorgosom Papandreuom i zahvalio mu na podršci koju pruža Srbiji u evropskim integracijama.",Srbija i Grčka su istorijski partneri i prijatelji a to će i ostati izjavio sinoć predsednik Srbije Boris Tadić posle razgovara s premijerom Grčke Jorgosom Papandreouom i zahvalio mi na podrški koja pruža Srbiji u evropske integracijama,0.314795657992363,95.82
"Predsjednik Vlade Republike Srpske Aleksandar Džombić izjavio je da su se kolektiv, koje je danas posjetijo u Prijedoru, uspjeli prilagoditi tržištu nakon krize, da u poslovanju nemaju većih problema i da nisu niti će otpuštati radnike.","Predsjednik Vlade Republike Srpske Aleksandar Džombić izjavio je da su se kolektivi, koje je danas posjetio u Prijedoru, uspjeli prilagoditi tržištu nakon krize, da u poslovanju nemaju većih problema i da nisu niti će otpuštati radnike.",Predsjednik Vlade Republike Srpske Aleksandar Džombić izjavio je da sa se kolektivni koje je danas posetio u Prijedoru uspjeli prilagoditi tržištu nakon krize da u poslovanju nemaju većih problema i da nisu niti će otpuštanja radnike,0.33587785065174103,95.76
"Ministar kulture Srbije Nebojša Bradić, koji boravi u trodnevnoj radnoj poseti Belgiji, izjavio je večeras da su pretstavnici Evropske komisije izrazili veoma pozitivno stav o saradnji sa Srbijom u oblasti kulture i obrazovanja.","Ministar kulture Srbije Nebojša Bradić, koji boravi u trodnevnoj radnoj poseti Belgiji, izjavio je večeras da su predstavnici Evropske komisije izrazili veoma pozitivan stav o saradnji sa Srbijom u oblasti kulture i obrazovanja.",Ministar kulture Srbije Nebojša Bradić koji boravi u trodnevnoj radnoj poseti Belgiji izjavio je večere da su pretstavnici Evropske komisije izrazila veoma pozitivno stav N saradnji sa Srbijom u oblasti kulture i obrazovanja,0.3289507528146108,95.61
Zamenik premijera i ministar unutrašnjih poslova Ivica Dačić izjavijo je da su MUP i policija u 2010. godini ispunila sve Ustavom i zakonom predvidjene zadatke.,Zamenik premijera i ministar unutrašnjih poslova Ivica Dačić izjavio je da su MUP i policija u 2010. godini ispunili sve Ustavom i zakonom predvidjene zadatke.,Zamenik premijera i ministar unutrašnjih poslova Ivica Dačić izjavio je da sa MUP i policija u 2010 godini ispunila sve Ustavom i zakonom predviđena zadatke,0.445233682791392,95.6
"Glavni tužilac Haškog tribunal Serž Bramerc ponovijo je danas pred poslanicima holandski parlamenta da ""uslovljavanje i pritisak"" ostaju ključni za hapšenje optuženih begunaca, a naročito Ratka Mladića.","Glavni tužilac Haškog tribunala Serž Bramerc ponovio je danas pred poslanicima holandskog parlamenta da ""uslovljavanje i pritisak"" ostaju ključni za hapšenje optuženih begunaca, a naročito Ratka Mladića.",Glavni tužilac Haškog tribunal Serža Bramerc ponovio je dana pred poslanicima holandska parlamenta da uslovljavanje i pritisak ostaju ključni za hapšenje optuženih begunaca a naročito Ratka Mladića,0.3396506607532501,95.57
"Među uhapšenima je petoro službenika Uprave za igre na sreću Ministarstva finansija, koji se terete za korupciju u državnim organima.","Među uhapšenima je petoro službenika Uprave za igre na sreću Ministarstva finansija, koji se terete za korupciju u državnim organima.",Među uhapšenima je petoj službenika Uprave za igre na treća Ministarstva finansija koji se terete za korupciju u državnim organima,0.3525219261646271,95.49
"Novi predsednik Gradskog odbora Demokratske stranka u Kragujevcu je Dušan Obradović, odlučeno je juče na izborna skupštini tog tela.","Novi predsednik Gradskog odbora Demokratske stranke u Kragujevcu je Dušan Obradović, odlučeno je juče na izbornoj skupštini tog tela.",Novi predsednik Gradskog odbora Demokratske stranka u Kragujevcu je Dušan Obradović odlučno je juče na izborna skupštini tog tela,0.6754796504974365,95.49
"Izdavanje izvoda iz matičnih knjiga rođenih, venčanih i umrlih na novi obrascima bez ograničenog rok važenja počinje danas, saopšteno je iz Ministarstva državne uprave i lokalne samouprave Srbije.","Izdavanje izvoda iz matičnih knjiga rođenih, venčanih i umrlih na novim obrascima bez ograničenog roka važenja počinje danas, saopšteno je iz Ministarstva državne uprave i lokalne samouprave Srbije.",Izdavanje izvoda iza matičnih knjiga rođenih venčanih i umrlih na novi obrascima beba ograničenog rok važenja počinje danas saopšteno je iza Ministarstva državne uprave i lokalne samouprave Srbije,0.33012425899505615,95.45
"Svi rokovnik koje smo na evropski putu Srbije postavili za prvih šest meseci ove godine biće ispoštovani, tvrdi u intervjuu za Blic potpredsednik Vlade zadužen za evropski integracije Božidar Đelić.","Svi rokovi koje smo na evropskom putu Srbije postavili za prvih šest meseci ove godine biće ispoštovani, tvrdi u intervjuu za Blic potpredsednik Vlade zadužen za evropske integracije Božidar Đelić.",Svi rokovnik koje sme na evropski putu Srbije postavili za prvih šest meseci ove godine biće ispoštovani tvrdi u intervjuu za Blic potpredsednik Vlade zadužena za evropski integracije Božidar Đelić,0.3349994421005249,95.43
"U Hramu Svetog Save, patrijarh služio arhijerejsku liturgija kojoj su prisustvovali predstavnici dijaspora kojima je poručio da ne zayorave svoje korene.","U Hramu Svetog Save, patrijarh služio arhijerejsku liturgiju kojoj su prisustvovali predstavnici dijaspore kojima je poručio da ne zaborave svoje korene.",U Hramu Svetog Save patrijarh služio arhijerejske liturgija kojoj su prisustvovali predstavnici dijaspora kojima je poručila da ne zaborave svoje korene,0.33129793405532837,95.42
"U tekstu se, kako saznajemo, ne pominju pregovori o statusu, ali se ističe da je jednostrana secesiji neprihvatljiva kao način sticanja teritorijalnog suverenitet Kosova.","U tekstu se, kako saznajemo, ne pominju pregovori o statusu, ali se ističe da je jednostrana secesija neprihvatljiva kao način sticanja teritorijalnog suvereniteta Kosova.",U tekstu se kako saznaje ne pominju pregovori o statusu ali se ističe da je jednostrana secesija neprihvatljiva kao način stanja teritorijalnog suvereniteta Kosova,0.32761842012405396,95.32
Patrijarh Srpske pravoslavne crkva (SPC) Irinej rekao je danas Tanjugu da će obeležavanje 17 vekova Milanskog edikta biti prilika za dijalog istočnih i zapadnih crkvi jer će na tu manifestaciju biti pozvani predstavnici svih crkava.,Patrijarh Srpske pravoslavne crkve (SPC) Irinej rekao je danas Tanjugu da će obeležavanje 17 vekova Milanskog edikta biti prilika za dijalog istočnih i zapadnih crkava jer će na tu manifestaciju biti pozvani predstavnici svih crkava.,Patrijarh Srpske pravoslavne crkva SPC Irinej rekao je dana Tanjušu da će obeležavanje NM vekova Milanskog edikta biti prilike za dijalog istočnih i zapadnih crkvi jer će na tu manifestaciju biti pozvani predstavnici svih crkava,0.3194880286852519,95.28
Srpski premier Mirko Cvetković najavio je juče da će Vlada odobriti prva pomoć za sva ugrožene od izlivanja Drine u vrednosti od 10 miliona dinara.,Srpski premijer Mirko Cvetković najavio je juče da će Vlada odobriti prvu pomoć za sve ugrožene od izlivanja Drine u vrednosti od 10 miliona dinara.,Srpski premjer Mirko Cvetković najavio je juče da će Vlada odobriti prva pomoći za sva ugrožene od izlivanja Drine u vrednosti od NM miliona dinara,0.3525219261646271,95.27
"Ambasador Holandije u Beogradu Ronald van Dartel izjavio je danas da se postojeće investicije te zemlje u Srbiji uvećavaju, ali i dodao da u ovom trenutku ne može najaviti nove investicije.","Ambasador Holandije u Beogradu Ronald van Dartel izjavio je danas da se postojeće investicije te zemlje u Srbiji uvećavaju, ali i dodao da u ovom trenutku ne može najaviti nove investicije.",Ambasador Holandije u Beogradu Ronald van Martel izjavio je dana da se postoje investicije te zemlje u Srbiji uvećavaju ali i dodao da u ovom trenutne ne može najavili nove investicije,0.33288493007421494,95.24
Ministar za Kosovo u Metohiju Goran Bogdanović izjavio je danas u manastiru Pećka patrijaršija da su u sedam opština na Kosova i Metohiji ukinuti takozvanog predsednici.,Ministar za Kosovo i Metohiju Goran Bogdanović izjavio je danas u manastiru Pećka patrijaršija da su u sedam opština na Kosovu i Metohiji ukinuti takozvani predsednici.,Ministar za Kosovo U Metohiju Goran Bogdanović izjavio je danas u manastiru Pećka patrijarha da su u sedam opština na Kosova i Metohiji ukinuti takozvanog predsednici,0.3903338611125946,95.24
"Poljski predsednik Leh Kačinjski, njegova suprug i svi putnici, među kojima i najviši poljski zvaničnici, poginuli su danas u udesu avijona kod ruskog grad Smolensk.","Poljski predsednik Leh Kačinjski, njegova supruga i svi putnici, među kojima i najviši poljski zvaničnici, poginuli su danas u udesu aviona kod ruskog grada Smolensk.",Poljski predsednik Leh Kačinjski njegova suprug i svi putnici mera kojima i najviši poljski zvaničnici poginuli su danas u udesu aviona kod ruskog grad Smolensk,0.3019948899745941,95.18
"Podpretsednik Vlade Srbije Jovan Krkobabić izjavio je večeraas da je u ovom trenutak nepotrbno vršiti rekonstrukciju Vlade, ali da će on prihvatiti takvo rešenje ukoliko svi koalicione partneri postignu dogovor oko tog pitanja.","Potpredsednik Vlade Srbije Jovan Krkobabić izjavio je večeras da je u ovom trenutku nepotrebno vršiti rekonstrukciju Vlade, ali da će on prihvatiti takvo rešenje ukoliko svi koalicioni partneri postignu dogovor oko tog pitanja.",podpredsednik Vlade Srbije Jovan Krkobabić izjavio je večere da je u ovom trenutak nepotrebno vršila rekonstrukciju Vlade ali da će on prihvatiti takvo rešenje ukoliko svi koalicione partneri postignu dogovor oko tog pitanja,0.37281137704849243,95.15
Predsednik Srbije izjavio da će učinio sve na oslobađanje Bogoljuba Arsenijevića Makija čim mu stigne zahtev Ministarstva pravde za oslobađanju od krivične odgovornosti ovog valjevska slikara i otporaša.,Predsednik Srbije izjavio da će učiniti sve na oslobađanju Bogoljuba Arsenijevića Makija čim mu stigne zahtev Ministarstva pravde za oslobađanje od krivične odgovornosti ovog valjevskog slikara i otporaša.,Predsednik Srbije izjavi da će učini sve na oslobađanje Bogoljuba Arsenijevića Makija čim mi stigne zahteva Ministarstva pravde za oslobađanje od krivične odgovornosti ovog Valjevska slikara i otporaša,0.3303854316473007,95.12
